Time,Open,High,Low,Close,Volume,ATR,CC,Top,Btm,Buy,Sell,ODR,Trend,WM,Band,last_pivot
2020-12-08 08:00:00,0.1378,0.13876,0.10681,0.12341,153330613.0,0.03194999999999999,0.11814277611214652,0,0,0,0,0,-1.0,0.0,0.0,0.12341
2020-12-09 08:00:00,0.12314,0.14566,0.1099,0.13799,242004150.0,0.033855,0.11814277611214652,1,0,0,0,0,-1.0,0.0,0.0,0.13799
2020-12-10 08:00:00,0.138,0.15012,0.12402,0.1245,198159302.0,0.03127,-0.09776070729763031,0,0,0,1,0,2.0,0.1245,1.0,0.13799
2020-12-11 08:00:00,0.12455,0.12721,0.11364,0.11546,112603167.0,0.026844999999999997,-0.07261044176706832,0,1,0,0,0,2.0,0.11546,1.0,0.11546
2020-12-12 08:00:00,0.11552,0.13187,0.11533,0.12321,82459132.0,0.024783999999999994,0.06712281309544443,0,0,1,0,0,1.0,0.12321,6.0,0.11546
2020-12-13 08:00:00,0.12307,0.127,0.11522,0.11829,68380963.0,0.022616666666666663,-0.03993182371560744,0,0,0,0,0,2.0,0.11829,1.0,0.11546
2020-12-14 08:00:00,0.11836,0.12054,0.10989,0.11585,69964961.0,0.020907142857142853,-0.020627271958745586,0,0,0,0,0,2.0,0.11585,1.0,0.11546
2020-12-15 08:00:00,0.11565,0.1238,0.11307,0.1168,66490546.0,0.019634999999999996,0.008200258955546103,0,0,0,0,0,1.0,0.1168,6.0,0.11546
2020-12-16 08:00:00,0.11679,0.11981,0.10708,0.11331,71742329.0,0.018867777777777775,-0.02988013698630143,0,0,0,0,0,2.0,0.11331,1.0,0.11546
2020-12-17 08:00:00,0.11317,0.1161,0.09679,0.09901,97413323.0,0.018911999999999995,-0.12620245344629777,0,1,0,0,0,2.0,0.09901,1.0,0.09901
2020-12-18 08:00:00,0.099,0.10857,0.09231,0.10684,118561688.0,0.018670909090909085,0.07908292091707914,0,0,1,0,0,1.0,0.10684,6.0,0.09901
2020-12-19 08:00:00,0.10684,0.13168,0.1025,0.12104,147189463.0,0.01954666666666666,0.1329090228378884,1,0,0,0,0,1.0,0.12104,6.0,0.12104
2020-12-20 08:00:00,0.12103,0.13357,0.10405,0.10693,183647245.0,0.020313846153846148,-0.1165730337078652,0,0,0,1,0,2.0,0.10693,1.0,0.12104
2020-12-21 08:00:00,0.10693,0.11364,0.095,0.0992,97460298.0,0.02019428571428571,-0.07229028336294774,0,0,0,0,0,2.0,0.0992,1.0,0.12104
2020-12-22 08:00:00,0.09922,0.10091,0.08988,0.0949,69631764.0,0.019583333333333328,-0.043346774193548376,0,0,0,0,0,2.0,0.0949,1.0,0.12104
2020-12-23 08:00:00,0.09489,0.09512,0.0584,0.06771,142369520.0,0.020654374999999992,-0.28651211801896725,0,1,0,0,0,2.0,0.06771,1.0,0.06771
2020-12-24 08:00:00,0.06777,0.08241,0.06551,0.08174,127098085.0,0.020433529411764698,0.2072072072072071,0,0,1,0,0,1.0,0.08174,6.0,0.06771
2020-12-25 08:00:00,0.08177,0.09196,0.07502,0.09006,64404474.0,0.020239444444444435,0.10178615121115753,0,0,0,0,0,1.0,0.09006,6.0,0.06771
2020-12-26 08:00:00,0.09029,0.09497,0.08113,0.09098,53746092.0,0.019902631578947363,0.01021541194759057,0,0,0,0,0,1.0,0.09098,6.0,0.06771
2020-12-27 08:00:00,0.09079,0.0981,0.08575,0.08942,69925482.0,0.019524999999999994,-0.017146625632007084,0,0,0,0,0,2.0,0.08942,1.0,0.06771
2020-12-28 08:00:00,0.08952,0.09451,0.086,0.08762,37498553.0,0.019000476190476186,-0.02012972489375975,0,0,0,0,0,2.0,0.08762,1.0,0.06771
2020-12-29 08:00:00,0.08762,0.09367,0.0747,0.0807,59698042.0,0.018999090909090903,-0.07897740241953899,0,0,0,0,0,2.0,0.0807,1.0,0.06771
2020-12-30 08:00:00,0.08063,0.08132,0.07519,0.0776,30155780.0,0.018439565217391297,-0.038413878562577386,0,0,0,0,0,2.0,0.0776,1.0,0.06771
2020-12-31 08:00:00,0.0775,0.08108,0.07355,0.07896,28405296.0,0.017984999999999994,0.017525773195876226,0,0,0,0,0,1.0,0.07896,6.0,0.06771
2021-01-01 08:00:00,0.07904,0.08584,0.07437,0.08037,44270036.0,0.017724399999999994,0.017857142857142794,0,0,0,0,0,1.0,0.08037,6.0,0.06771
2021-01-02 08:00:00,0.08039,0.08056,0.07482,0.0768,68666277.0,0.017263461538461533,-0.04441955953714072,0,1,0,0,0,2.0,0.0768,1.0,0.0768
2021-01-03 08:00:00,0.07686,0.09076,0.0768,0.08741,47968653.0,0.017141111111111103,0.1381510416666667,0,0,1,0,0,1.0,0.08741,6.0,0.0768
2021-01-04 08:00:00,0.08747,0.09586,0.08037,0.09466,81353554.0,0.01708214285714285,0.08294245509667086,0,0,0,0,0,1.0,0.09466,6.0,0.0768
2021-01-05 08:00:00,0.09466,0.11366,0.08586,0.11155,130790946.0,0.017451724137931026,0.1784280583139659,0,0,0,0,0,1.0,0.11155,6.0,0.0768
2021-01-06 08:00:00,0.11163,0.11808,0.10436,0.11231,61060638.0,0.017327333333333323,0.006813088301210302,0,0,0,0,0,1.0,0.11231,6.0,0.0768
2021-01-07 08:00:00,0.11253,0.1225,0.1062,0.11276,70106670.0,0.01729419354838709,0.004006766984240073,1,0,0,0,0,1.0,0.11276,6.0,0.11276
2021-01-08 08:00:00,0.11286,0.12003,0.09696,0.10997,86472032.0,0.017474687499999992,-0.0247428166016318,0,0,0,1,0,2.0,0.10997,1.0,0.11276
2021-01-09 08:00:00,0.1101,0.1142,0.10639,0.11053,34913228.0,0.017181818181818173,0.005092297899427223,0,0,0,0,0,2.0,0.10997,5.0,0.11276
2021-01-10 08:00:00,0.11053,0.12641,0.09428,0.10266,103716905.0,0.017621470588235287,-0.07120238849181215,0,0,0,0,1,2.0,0.10266,1.0,0.11276
2021-01-11 08:00:00,0.10275,0.10384,0.08689,0.09778,176115591.0,0.017602285714285706,-0.04753555425676992,0,1,0,0,0,2.0,0.09778,1.0,0.09778
2021-01-12 08:00:00,0.09785,0.1069,0.0941,0.10111,52629543.0,0.01746888888888888,0.03405604418081398,0,0,1,0,0,1.0,0.10111,6.0,0.09778
2021-01-13 08:00:00,0.10093,0.11894,0.09961,0.11222,49185254.0,0.017519189189189183,0.10988032835525652,0,0,0,0,0,1.0,0.11222,6.0,0.09778
2021-01-14 08:00:00,0.11222,0.12951,0.107,0.12829,85713483.0,0.017650526315789467,0.1432008554624844,0,0,0,0,0,1.0,0.12829,6.0,0.09778
2021-01-15 08:00:00,0.12857,0.14711,0.11939,0.13324,83480900.0,0.017908717948717942,0.03858445708940694,0,0,0,0,0,1.0,0.13324,6.0,0.09778
2021-01-16 08:00:00,0.13317,0.15495,0.12566,0.13437,64220947.0,0.018193249999999994,0.008480936655658855,0,0,0,0,0,1.0,0.13437,6.0,0.09778
2021-01-17 08:00:00,0.13429,0.14395,0.12537,0.14009,41801482.0,0.018202918749999995,0.042569025824216844,0,0,0,0,0,1.0,0.14009,6.0,0.09778
2021-01-18 08:00:00,0.14023,0.15205,0.13261,0.14627,44940692.0,0.018233845781249994,0.04411449782282828,1,0,0,0,0,1.0,0.14627,6.0,0.14627
2021-01-19 08:00:00,0.14632,0.16309,0.14209,0.14299,56769105.0,0.018302999636718744,-0.02242428385861761,0,0,0,1,0,2.0,0.14299,1.0,0.14627
2021-01-20 08:00:00,0.14303,0.14553,0.1275,0.13644,72216750.0,0.018296174645800776,-0.04580739911881948,0,0,0,0,0,2.0,0.13644,1.0,0.14627
2021-01-21 08:00:00,0.13635,0.14153,0.11589,0.11636,76084447.0,0.018479770279655756,-0.14717091761946643,0,0,0,0,0,2.0,0.11636,1.0,0.14627
2021-01-22 08:00:00,0.11648,0.123,0.09274,0.11402,167487544.0,0.018774276022664363,-0.020110003437607493,0,1,0,0,0,2.0,0.11402,1.0,0.11402
2021-01-23 08:00:00,0.11412,0.12541,0.11173,0.11846,71894526.0,0.018646919122097753,0.03894053674793896,0,0,1,0,0,1.0,0.11846,6.0,0.11402
2021-01-24 08:00:00,0.11841,0.14,0.11753,0.13451,105580764.0,0.01874249614404531,0.13548877258146197,0,0,0,0,0,1.0,0.13451,6.0,0.11402
2021-01-25 08:00:00,0.13441,0.13772,0.1251,0.12935,62928915.0,0.01858943374044418,-0.0383614601144896,0,0,0,0,0,2.0,0.12935,1.0,0.11402
2021-01-26 08:00:00,0.12923,0.17,0.1254,0.16017,195429311.0,0.019239697896933076,0.2382682643989178,1,0,0,0,0,1.0,0.16017,6.0,0.16017
2021-01-27 08:00:00,0.16017,0.1645,0.12648,0.13091,139918154.0,0.01970920544950975,-0.18268090154211158,0,0,0,1,0,2.0,0.13091,1.0,0.16017
2021-01-28 08:00:00,0.13082,0.14849,0.1279,0.13634,56253148.0,0.019731225313272007,0.04147887861889843,0,0,0,0,0,1.0,0.13634,6.0,0.16017
2021-01-29 08:00:00,0.13627,0.14089,0.12956,0.13838,51009527.0,0.019521194680440206,0.014962593516209655,0,0,0,0,0,1.0,0.13838,6.0,0.16017
2021-01-30 08:00:00,0.13832,0.14519,0.12608,0.1391,62408086.0,0.019510914813429203,0.005203064026593429,0,0,0,0,0,1.0,0.1391,6.0,0.16017
2021-01-31 08:00:00,0.13899,0.14474,0.13033,0.13421,35600191.0,0.019383391943093475,-0.035154565061107146,0,0,0,0,0,2.0,0.13421,1.0,0.16017
2021-02-01 08:00:00,0.13422,0.14507,0.12966,0.13866,68583971.0,0.01928405714451614,0.03315699277252082,0,0,0,0,0,1.0,0.13866,6.0,0.16017
2021-02-02 08:00:00,0.13851,0.15445,0.1323,0.15033,80057628.0,0.019355705715903237,0.08416270012981375,0,0,0,0,0,1.0,0.15033,6.0,0.16017
