date,price,volume,market_cap,daily_return,asset
2025-03-06,0.2339372329746499,89408078.810206,1089651636.7243407,0.04732623265456226,sei-network
2025-03-07,0.22539649323473593,97137044.9819534,1049021712.3828663,-0.03650868068889013,sei-network
2025-03-08,0.22453163312694666,128870888.5685187,1045613522.6126306,-0.0038370610623856827,sei-network
2025-03-09,0.21440676745346238,69330218.11521953,997545189.0881284,-0.045093270522643225,sei-network
2025-03-10,0.20071217032612212,105030247.225526,935324734.6810644,-0.06387203766929939,sei-network
2025-03-11,0.18300901973217562,123027442.2896178,853077845.4072626,-0.08820167987413008,sei-network
2025-03-12,0.19158753417295418,108156345.37945977,890694904.7050775,0.046874817718453254,sei-network
2025-03-13,0.1887042927062449,96304030.79143775,878468571.7093185,-0.015049212252538635,sei-network
2025-03-14,0.18920268081858035,103486545.59104492,883312920.8453113,0.0026411063849580696,sei-network
2025-03-15,0.20372589397742782,102968884.88637199,949085252.2099229,0.07676008128433054,sei-network
2025-03-16,0.20570297080237104,66763863.55021448,1003218092.2622405,0.009704592707111992,sei-network
2025-03-17,0.19706142399356708,74719561.05700403,961583318.9664532,-0.04200982987798618,sei-network
2025-03-18,0.20021699613776836,61375522.83001407,977390099.8478171,0.01601313986396602,sei-network
2025-03-19,0.19782446802187556,46268538.26233341,965902976.3756318,-0.01194967541240366,sei-network
2025-03-20,0.20346280038465964,82937993.1255353,993847026.2492671,0.02850169354258325,sei-network
2025-03-21,0.19455804845373398,58503111.88964285,948364477.2195411,-0.043765995130759294,sei-network
2025-03-22,0.19111474666044032,43995574.67432756,933441699.0140339,-0.017698069140082318,sei-network
2025-03-23,0.19196419479974217,39345099.82166242,936950068.558941,0.00444470222285398,sei-network
2025-03-24,0.19325712636721423,40649741.53560589,943976532.8989608,0.006735274611084918,sei-network
2025-03-25,0.20166517773137044,77460528.03329396,982507582.0850123,0.04350707020335065,sei-network
2025-03-25,0.20583764873407784,69896298.31764273,1004421849.1799568,0.02069009161445501,sei-network
2024-03-26,13.342700616889635,5268303.594125369,756848056.7263894,,dexe
2024-03-27,13.500016910829167,4166203.62491032,770110224.1522592,0.011790438716761331,dexe
2024-03-28,13.400858790082564,5904904.757708969,761898861.7121063,-0.007345036780440073,dexe
2024-03-29,13.974613457427468,3720302.122931593,799004790.4341431,0.04281476854076827,dexe
2024-03-30,14.878598690864434,29834302.692539927,850261631.0897926,0.06468767355826222,dexe
2024-03-31,16.415010143191697,7780327.7907145005,934685328.9919474,0.10326318252475142,dexe
2024-04-01,15.35373427396556,4505146.360251436,876271694.5507628,-0.06465276962782218,dexe
2024-04-02,14.868773828289935,3249228.4727007695,849100399.437799,-0.03158583032780138,dexe
2024-04-03,13.715606344389366,4323408.166808502,782774405.9150277,-0.0775563269182632,dexe
2024-04-04,14.391709796953814,4090331.0534730353,821043263.4591345,0.04929446322590181,dexe
2024-04-05,14.91375963212289,2673977.650545865,850793660.896008,0.03627434422556064,dexe
