realtime_start,realtime_end,date,value
2025-03-27,2025-03-27,2022-08-22,4137.99
2025-03-27,2025-03-27,2022-08-23,4128.73
2025-03-27,2025-03-27,2022-08-24,4140.77
2025-03-27,2025-03-27,2022-08-25,4199.12
2025-03-27,2025-03-27,2022-08-26,4057.66
2025-03-27,2025-03-27,2022-08-29,4030.61
2025-03-27,2025-03-27,2022-08-30,3986.16
2025-03-27,2025-03-27,2022-08-31,3955.0
2025-03-27,2025-03-27,2022-09-01,3966.85
2025-03-27,2025-03-27,2022-09-02,3924.26
2025-03-27,2025-03-27,2022-09-05,
2025-03-27,2025-03-27,2022-09-06,3908.19
2025-03-27,2025-03-27,2022-09-07,3979.87
2025-03-27,2025-03-27,2022-09-08,4006.18
2025-03-27,2025-03-27,2022-09-09,4067.36
2025-03-27,2025-03-27,2022-09-12,4110.41
2025-03-27,2025-03-27,2022-09-13,3932.69
2025-03-27,2025-03-27,2022-09-14,3946.01
2025-03-27,2025-03-27,2022-09-15,3901.35
2025-03-27,2025-03-27,2022-09-16,3873.33
2025-03-27,2025-03-27,2022-09-19,3899.89
2025-03-27,2025-03-27,2022-09-20,3855.93
2025-03-27,2025-03-27,2022-09-21,3789.93
2025-03-27,2025-03-27,2022-09-22,3757.99
2025-03-27,2025-03-27,2022-09-23,3693.23
2025-03-27,2025-03-27,2022-09-26,3655.04
2025-03-27,2025-03-27,2022-09-27,3647.29
2025-03-27,2025-03-27,2022-09-28,3719.04
2025-03-27,2025-03-27,2022-09-29,3640.47
2025-03-27,2025-03-27,2022-09-30,3585.62
2025-03-27,2025-03-27,2022-10-03,3678.43
2025-03-27,2025-03-27,2022-10-04,3790.93
2025-03-27,2025-03-27,2022-10-05,3783.28
2025-03-27,2025-03-27,2022-10-06,3744.52
2025-03-27,2025-03-27,2022-10-07,3639.66
2025-03-27,2025-03-27,2022-10-10,3612.39
2025-03-27,2025-03-27,2022-10-11,3588.84
2025-03-27,2025-03-27,2022-10-12,3577.03
2025-03-27,2025-03-27,2022-10-13,3669.91
2025-03-27,2025-03-27,2022-10-14,3583.07
2025-03-27,2025-03-27,2022-10-17,3677.95
2025-03-27,2025-03-27,2022-10-18,3719.98
2025-03-27,2025-03-27,2022-10-19,3695.16
2025-03-27,2025-03-27,2022-10-20,3665.78
2025-03-27,2025-03-27,2022-10-21,3752.75
2025-03-27,2025-03-27,2022-10-24,3797.34
2025-03-27,2025-03-27,2022-10-25,3859.11
2025-03-27,2025-03-27,2022-10-26,3830.6
2025-03-27,2025-03-27,2022-10-27,3807.3
2025-03-27,2025-03-27,2022-10-28,3901.06
2025-03-27,2025-03-27,2022-10-31,3871.98
2025-03-27,2025-03-27,2022-11-01,3856.1
2025-03-27,2025-03-27,2022-11-02,3759.69
2025-03-27,2025-03-27,2022-11-03,3719.89
2025-03-27,2025-03-27,2022-11-04,3770.55
2025-03-27,2025-03-27,2022-11-07,3806.8
2025-03-27,2025-03-27,2022-11-08,3828.11
2025-03-27,2025-03-27,2022-11-09,3748.57
2025-03-27,2025-03-27,2022-11-10,3956.37
2025-03-27,2025-03-27,2022-11-11,3992.93
