date,symbol,open,high,low,close,volume,market_cap,daily_return,sp500,treasury_spread,fear_greed,gold_price_usd
2022-03-24,LRC/USDT,1.1697,1.202,1.0389,1.081,151827886.0,164125944.766,-0.022386679000925,4520.16,0.21,40.0,1856.3
2022-03-25,LRC/USDT,1.081,1.1848,1.0298,1.0568,92777829.0,98047609.6872,-0.022386679000925,4543.06,0.18,47.0,1856.3
2022-03-26,LRC/USDT,1.057,1.1759,1.0424,1.0652,90755089.0,96672320.8028,0.0079485238455714,4543.06,0.18,51.0,1856.3
2022-03-27,LRC/USDT,1.0651,1.1455,1.04,1.1049,89185931.0,98541535.1619,0.0372699962448366,4543.06,0.18,49.0,1856.3
2022-03-28,LRC/USDT,1.1047,1.2781,1.0742,1.1294,182241160.0,205823166.104,0.0221739523938817,4575.52,0.11,60.0,1856.3
2022-03-29,LRC/USDT,1.1295,1.362,1.1262,1.2846,187522327.0,240891181.2642,0.1374180981051886,4631.6,0.06,56.0,1856.3
2022-03-30,LRC/USDT,1.2843,1.327,1.2116,1.2699,84454679.0,107248996.8621,-0.0114432508173749,4602.45,0.04,55.0,1856.3
2022-03-31,LRC/USDT,1.2699,1.34,1.1351,1.1648,96378309.0,112261454.3232,-0.0827624222379714,4530.41,0.04,52.0,1947.8
2022-04-01,LRC/USDT,1.1645,1.227,1.0982,1.1866,64248330.0,76237068.378,0.0187156593406594,4545.86,-0.05,50.0,1947.8
2022-04-02,LRC/USDT,1.1868,1.2299,1.1354,1.1392,38042991.0,43338575.3472,-0.0399460643856397,4545.86,-0.05,52.0,1947.8
2022-04-03,LRC/USDT,1.1391,1.2037,1.1146,1.1867,29080672.0,34510033.462400004,0.0416959269662922,4545.86,-0.05,48.0,1947.8
2022-04-04,LRC/USDT,1.1867,1.1869,1.0785,1.1412,29830880.0,34043000.256,-0.0383416196174265,4582.64,-0.01,52.0,1947.8
2022-04-05,LRC/USDT,1.1409,1.195,1.1011,1.1046,34518344.0,38128962.782400005,-0.0320715036803365,4525.12,0.03,53.0,1947.8
2022-04-06,LRC/USDT,1.1047,1.1081,0.9629,0.9668,41795340.0,40407734.712,-0.124751041100851,4481.15,0.11,48.0,1947.8
2022-03-24,XRP/USDT,0.8376,0.85,0.8272,0.8428,282122073.0,237772483.1244,-0.0224252491694352,4520.16,0.21,40.0,1856.3
2022-03-25,XRP/USDT,0.8428,0.8459,0.8185,0.8239,214450998.0,176686177.2522,-0.0224252491694352,4543.06,0.18,47.0,1856.3
2022-03-26,XRP/USDT,0.8239,0.8349,0.8206,0.8327,122433652.0,101950502.0204,0.0106809078771696,4543.06,0.18,51.0,1856.3
2022-03-27,XRP/USDT,0.8326,0.8582,0.8275,0.858,198619688.0,170415692.304,0.0303830911492735,4543.06,0.18,49.0,1856.3
2022-03-28,XRP/USDT,0.8579,0.93,0.8528,0.8641,479199201.0,414076029.5841,0.0071095571095571,4575.52,0.11,60.0,1856.3
2022-03-29,XRP/USDT,0.864,0.8857,0.8389,0.8577,264756291.0,227081470.7907,-0.0074065501678045,4631.6,0.06,56.0,1856.3
2022-03-30,XRP/USDT,0.8576,0.8718,0.8455,0.8613,201046259.0,173161142.87669998,0.0041972717733471,4602.45,0.04,55.0,1856.3
2022-03-31,XRP/USDT,0.8613,0.8737,0.7794,0.8148,366939277.0,298982122.8996,-0.0539881574364332,4530.41,0.04,52.0,1947.8
2022-04-01,XRP/USDT,0.8149,0.8343,0.807,0.8277,254001232.0,210236819.7264,0.0158321060382915,4545.86,-0.05,50.0,1947.8
2022-04-02,XRP/USDT,0.8277,0.8499,0.8185,0.824,210041825.0,173074463.79999998,-0.0044702186782651,4545.86,-0.05,52.0,1947.8
2022-04-03,XRP/USDT,0.824,0.8519,0.8143,0.8432,159520162.0,134507400.5984,0.0233009708737863,4545.86,-0.05,48.0,1947.8
2022-04-04,XRP/USDT,0.8432,0.844,0.8041,0.826,216740017.0,179027254.042,-0.0203984819734345,4582.64,-0.01,52.0,1947.8
2022-04-05,XRP/USDT,0.8261,0.8366,0.8145,0.8164,174779509.0,142689991.1476,-0.0116222760290556,4525.12,0.03,53.0,1947.8
2022-04-06,XRP/USDT,0.8164,0.8184,0.7555,0.7595,348686323.0,264827262.3185,-0.0696962273395395,4481.15,0.11,48.0,1947.8
2022-03-24,CHR/USDT,0.4699,0.4906,0.451,0.4756,44144695.0,20995216.942,-0.0382674516400337,4520.16,0.21,40.0,1856.3
2022-03-25,CHR/USDT,0.4756,0.4843,0.4407,0.4574,31728074.0,14512421.0476,-0.0382674516400337,4543.06,0.18,47.0,1856.3
2022-03-26,CHR/USDT,0.457,0.4659,0.4498,0.4598,20836362.0,9580559.2476,0.0052470485351989,4543.06,0.18,51.0,1856.3
2022-03-27,CHR/USDT,0.4598,0.4899,0.4409,0.4865,36224652.0,17623293.198,0.0580687255328402,4543.06,0.18,49.0,1856.3
2022-03-28,CHR/USDT,0.4866,0.5621,0.4824,0.5127,93048610.0,47706022.347,0.0538540596094554,4575.52,0.11,60.0,1856.3
2022-03-29,CHR/USDT,0.513,0.5823,0.5058,0.5513,78554427.0,43307055.6051,0.0752876926077628,4631.6,0.06,56.0,1856.3
